batch_no,ctq_name,feature_name,feature_value,feature_type,target_value
YOG2026050112,双歧杆菌数,配料蛋白质含量,3.7,numeric,65502182.6
YOG2026050113,双歧杆菌数,发酵时间,6.8,numeric,83232879.8
YOG2026050113,双歧杆菌数,发酵温度,39.9,numeric,83232879.8
YOG2026050113,双歧杆菌数,菌种类型,Bb-12,categorical,83232879.8
YOG2026050113,双歧杆菌数,待装罐储存温度,2.9,numeric,83232879.8
YOG2026050113,双歧杆菌数,配料糖添加量,7.2,numeric,83232879.8
YOG2026050113,双歧杆菌数,配料蛋白质含量,3.7,numeric,83232879.8
YOG2026050114,双歧杆菌数,发酵时间,7.7,numeric,64814991.4
YOG2026050114,双歧杆菌数,发酵温度,39.9,numeric,64814991.4
YOG2026050114,双歧杆菌数,菌种类型,HN019,categorical,64814991.4
YOG2026050114,双歧杆菌数,待装罐储存温度,5.0,numeric,64814991.4
YOG2026050114,双歧杆菌数,配料糖添加量,8.3,numeric,64814991.4
YOG2026050114,双歧杆菌数,配料蛋白质含量,3.4,numeric,64814991.4
YOG2026050115,双歧杆菌数,发酵时间,7.2,numeric,49436827.5
YOG2026050115,双歧杆菌数,发酵温度,41.2,numeric,49436827.5
YOG2026050115,双歧杆菌数,菌种类型,BB536,categorical,49436827.5
YOG2026050115,双歧杆菌数,待装罐储存温度,4.0,numeric,49436827.5
YOG2026050115,双歧杆菌数,配料糖添加量,9.1,numeric,49436827.5
YOG2026050115,双歧杆菌数,配料蛋白质含量,3.0,numeric,49436827.5
YOG2026050116,双歧杆菌数,发酵时间,7.4,numeric,71395630.6
YOG2026050116,双歧杆菌数,发酵温度,40.1,numeric,71395630.6
YOG2026050116,双歧杆菌数,菌种类型,Bb-12,categorical,71395630.6
YOG2026050116,双歧杆菌数,待装罐储存温度,3.7,numeric,71395630.6
YOG2026050116,双歧杆菌数,配料糖添加量,8.1,numeric,71395630.6
YOG2026050116,双歧杆菌数,配料蛋白质含量,3.1,numeric,71395630.6
YOG2026050117,双歧杆菌数,发酵时间,6.9,numeric,58667272.4
YOG2026050117,双歧杆菌数,发酵温度,40.3,numeric,58667272.4
YOG2026050117,双歧杆菌数,菌种类型,BL21,categorical,58667272.4
YOG2026050117,双歧杆菌数,待装罐储存温度,5.5,numeric,58667272.4
YOG2026050117,双歧杆菌数,配料糖添加量,7.6,numeric,58667272.4
YOG2026050117,双歧杆菌数,配料蛋白质含量,3.3,numeric,58667272.4
YOG2026050118,双歧杆菌数,发酵时间,6.7,numeric,71429151.5
YOG2026050118,双歧杆菌数,发酵温度,40.7,numeric,71429151.5
YOG2026050118,双歧杆菌数,菌种类型,Bb-12,categorical,71429151.5
YOG2026050118,双歧杆菌数,待装罐储存温度,4.3,numeric,71429151.5
YOG2026050118,双歧杆菌数,配料糖添加量,7.6,numeric,71429151.5
YOG2026050118,双歧杆菌数,配料蛋白质含量,3.6,numeric,71429151.5
YOG2026050119,双歧杆菌数,发酵时间,7.0,numeric,70398194.5
YOG2026050119,双歧杆菌数,发酵温度,40.8,numeric,70398194.5
YOG2026050119,双歧杆菌数,菌种类型,HN019,categorical,70398194.5
YOG2026050119,双歧杆菌数,待装罐储存温度,3.3,numeric,70398194.5
YOG2026050119,双歧杆菌数,配料糖添加量,7.8,numeric,70398194.5
YOG2026050119,双歧杆菌数,配料蛋白质含量,3.4,numeric,70398194.5
YOG2026050120,双歧杆菌数,发酵时间,6.3,numeric,68705193.2
YOG2026050120,双歧杆菌数,发酵温度,40.2,numeric,68705193.2
YOG2026050120,双歧杆菌数,菌种类型,HN019,categorical,68705193.2
YOG2026050120,双歧杆菌数,待装罐储存温度,4.3,numeric,68705193.2
YOG2026050120,双歧杆菌数,配料糖添加量,8.0,numeric,68705193.2
YOG2026050120,双歧杆菌数,配料蛋白质含量,3.5,numeric,68705193.2
YOG2026050201,双歧杆菌数,发酵时间,6.3,numeric,63956339.9
YOG2026050201,双歧杆菌数,发酵温度,39.7,numeric,63956339.9
YOG2026050201,双歧杆菌数,菌种类型,BL21,categorical,63956339.9
YOG2026050201,双歧杆菌数,待装罐储存温度,3.7,numeric,63956339.9
YOG2026050201,双歧杆菌数,配料糖添加量,7.4,numeric,63956339.9
YOG2026050201,双歧杆菌数,配料蛋白质含量,3.5,numeric,63956339.9
YOG2026050202,双歧杆菌数,发酵时间,7.2,numeric,62092427.6
YOG2026050202,双歧杆菌数,发酵温度,41.5,numeric,62092427.6
YOG2026050202,双歧杆菌数,菌种类型,HN019,categorical,62092427.6
YOG2026050202,双歧杆菌数,待装罐储存温度,4.2,numeric,62092427.6
YOG2026050202,双歧杆菌数,配料糖添加量,8.2,numeric,62092427.6
YOG2026050202,双歧杆菌数,配料蛋白质含量,3.5,numeric,62092427.6
YOG2026050203,双歧杆菌数,发酵时间,6.0,numeric,65573037.2
YOG2026050203,双歧杆菌数,发酵温度,40.0,numeric,65573037.2
YOG2026050203,双歧杆菌数,菌种类型,HN019,categorical,65573037.2
YOG2026050203,双歧杆菌数,待装罐储存温度,4.1,numeric,65573037.2
YOG2026050203,双歧杆菌数,配料糖添加量,9.7,numeric,65573037.2
YOG2026050203,双歧杆菌数,配料蛋白质含量,3.5,numeric,65573037.2
YOG2026050204,双歧杆菌数,发酵时间,7.2,numeric,74372137.0
YOG2026050204,双歧杆菌数,发酵温度,40.0,numeric,74372137.0
YOG2026050204,双歧杆菌数,菌种类型,BL21,categorical,74372137.0
YOG2026050204,双歧杆菌数,待装罐储存温度,2.8,numeric,74372137.0
YOG2026050204,双歧杆菌数,配料糖添加量,8.8,numeric,74372137.0
YOG2026050204,双歧杆菌数,配料蛋白质含量,3.7,numeric,74372137.0
YOG2026050205,双歧杆菌数,发酵时间,7.4,numeric,65230490.2
YOG2026050205,双歧杆菌数,发酵温度,39.3,numeric,65230490.2
YOG2026050205,双歧杆菌数,菌种类型,Bb-12,categorical,65230490.2
YOG2026050205,双歧杆菌数,待装罐储存温度,5.4,numeric,65230490.2
YOG2026050205,双歧杆菌数,配料糖添加量,7.0,numeric,65230490.2
YOG2026050205,双歧杆菌数,配料蛋白质含量,3.6,numeric,65230490.2
YOG2026050206,双歧杆菌数,发酵时间,8.1,numeric,55287470.2
YOG2026050206,双歧杆菌数,发酵温度,39.2,numeric,55287470.2
YOG2026050206,双歧杆菌数,菌种类型,BB536,categorical,55287470.2
YOG2026050206,双歧杆菌数,待装罐储存温度,3.4,numeric,55287470.2
YOG2026050206,双歧杆菌数,配料糖添加量,8.1,numeric,55287470.2
YOG2026050206,双歧杆菌数,配料蛋白质含量,3.4,numeric,55287470.2
YOG2026050207,双歧杆菌数,发酵时间,6.2,numeric,70815870.9
YOG2026050207,双歧杆菌数,发酵温度,40.1,numeric,70815870.9
YOG2026050207,双歧杆菌数,菌种类型,HN019,categorical,70815870.9
YOG2026050207,双歧杆菌数,待装罐储存温度,2.9,numeric,70815870.9
YOG2026050207,双歧杆菌数,配料糖添加量,8.3,numeric,70815870.9
YOG2026050207,双歧杆菌数,配料蛋白质含量,3.3,numeric,70815870.9
YOG2026050208,双歧杆菌数,发酵时间,7.8,numeric,63837932.8
YOG2026050208,双歧杆菌数,发酵温度,39.4,numeric,63837932.8
YOG2026050208,双歧杆菌数,菌种类型,HN019,categorical,63837932.8
YOG2026050208,双歧杆菌数,待装罐储存温度,3.7,numeric,63837932.8
YOG2026050208,双歧杆菌数,配料糖添加量,8.6,numeric,63837932.8
YOG2026050208,双歧杆菌数,配料蛋白质含量,3.3,numeric,63837932.8
YOG2026050209,双歧杆菌数,发酵时间,7.1,numeric,74583288.9
YOG2026050209,双歧杆菌数,发酵温度,41.0,numeric,74583288.9
YOG2026050209,双歧杆菌数,菌种类型,HN019,categorical,74583288.9
YOG2026050209,双歧杆菌数,待装罐储存温度,2.4,numeric,74583288.9
YOG2026050209,双歧杆菌数,配料糖添加量,8.1,numeric,74583288.9
YOG2026050209,双歧杆菌数,配料蛋白质含量,3.6,numeric,74583288.9
YOG2026050210,双歧杆菌数,发酵时间,7.4,numeric,71017967.6
YOG2026050210,双歧杆菌数,发酵温度,39.0,numeric,71017967.6
YOG2026050210,双歧杆菌数,菌种类型,HN019,categorical,71017967.6
YOG2026050210,双歧杆菌数,待装罐储存温度,2.7,numeric,71017967.6
YOG2026050210,双歧杆菌数,配料糖添加量,8.4,numeric,71017967.6
YOG2026050210,双歧杆菌数,配料蛋白质含量,3.6,numeric,71017967.6
YOG2026050211,双歧杆菌数,发酵时间,7.1,numeric,80486661.0
YOG2026050211,双歧杆菌数,发酵温度,40.3,numeric,80486661.0
YOG2026050211,双歧杆菌数,菌种类型,Bb-12,categorical,80486661.0
YOG2026050211,双歧杆菌数,待装罐储存温度,3.3,numeric,80486661.0
YOG2026050211,双歧杆菌数,配料糖添加量,8.2,numeric,80486661.0
YOG2026050211,双歧杆菌数,配料蛋白质含量,3.6,numeric,80486661.0
YOG2026050212,双歧杆菌数,发酵时间,6.6,numeric,63240408.0
YOG2026050212,双歧杆菌数,发酵温度,41.5,numeric,63240408.0
YOG2026050212,双歧杆菌数,菌种类型,Bb-12,categorical,63240408.0
YOG2026050212,双歧杆菌数,待装罐储存温度,4.5,numeric,63240408.0
YOG2026050212,双歧杆菌数,配料糖添加量,7.2,numeric,63240408.0
YOG2026050212,双歧杆菌数,配料蛋白质含量,3.6,numeric,63240408.0
YOG2026050213,双歧杆菌数,发酵时间,6.5,numeric,64822369.9
YOG2026050213,双歧杆菌数,发酵温度,40.6,numeric,64822369.9
YOG2026050213,双歧杆菌数,菌种类型,HN019,categorical,64822369.9
YOG2026050213,双歧杆菌数,待装罐储存温度,5.2,numeric,64822369.9
YOG2026050213,双歧杆菌数,配料糖添加量,7.4,numeric,64822369.9
YOG2026050213,双歧杆菌数,配料蛋白质含量,3.7,numeric,64822369.9
YOG2026050214,双歧杆菌数,发酵时间,7.2,numeric,62241383.5
YOG2026050214,双歧杆菌数,发酵温度,40.7,numeric,62241383.5
YOG2026050214,双歧杆菌数,菌种类型,Bb-12,categorical,62241383.5
YOG2026050214,双歧杆菌数,待装罐储存温度,5.9,numeric,62241383.5
YOG2026050214,双歧杆菌数,配料糖添加量,7.8,numeric,62241383.5
YOG2026050214,双歧杆菌数,配料蛋白质含量,3.3,numeric,62241383.5
YOG2026050215,双歧杆菌数,发酵时间,6.6,numeric,69240370.7
YOG2026050215,双歧杆菌数,发酵温度,39.3,numeric,69240370.7
YOG2026050215,双歧杆菌数,菌种类型,HN019,categorical,69240370.7
YOG2026050215,双歧杆菌数,待装罐储存温度,3.9,numeric,69240370.7
YOG2026050215,双歧杆菌数,配料糖添加量,8.2,numeric,69240370.7
YOG2026050215,双歧杆菌数,配料蛋白质含量,3.6,numeric,69240370.7
YOG2026050216,双歧杆菌数,发酵时间,7.4,numeric,76734812.0
YOG2026050216,双歧杆菌数,发酵温度,40.0,numeric,76734812.0
YOG2026050216,双歧杆菌数,菌种类型,Bb-12,categorical,76734812.0
YOG2026050216,双歧杆菌数,待装罐储存温度,5.5,numeric,76734812.0
YOG2026050216,双歧杆菌数,配料糖添加量,7.8,numeric,76734812.0
YOG2026050216,双歧杆菌数,配料蛋白质含量,4.0,numeric,76734812.0
YOG2026050217,双歧杆菌数,发酵时间,7.3,numeric,66775490.0
YOG2026050217,双歧杆菌数,发酵温度,39.3,numeric,66775490.0
YOG2026050217,双歧杆菌数,菌种类型,BL21,categorical,66775490.0
YOG2026050217,双歧杆菌数,待装罐储存温度,2.9,numeric,66775490.0
YOG2026050217,双歧杆菌数,配料糖添加量,8.3,numeric,66775490.0
YOG2026050217,双歧杆菌数,配料蛋白质含量,3.5,numeric,66775490.0
YOG2026050218,双歧杆菌数,发酵时间,7.4,numeric,68821702.4
YOG2026050218,双歧杆菌数,发酵温度,40.4,numeric,68821702.4
YOG2026050218,双歧杆菌数,菌种类型,Bb-12,categorical,68821702.4
YOG2026050218,双歧杆菌数,待装罐储存温度,3.9,numeric,68821702.4
YOG2026050218,双歧杆菌数,配料糖添加量,7.4,numeric,68821702.4
YOG2026050218,双歧杆菌数,配料蛋白质含量,3.2,numeric,68821702.4
YOG2026050219,双歧杆菌数,发酵时间,6.8,numeric,66501144.3
YOG2026050219,双歧杆菌数,发酵温度,40.7,numeric,66501144.3
YOG2026050219,双歧杆菌数,菌种类型,HN019,categorical,66501144.3
YOG2026050219,双歧杆菌数,待装罐储存温度,4.2,numeric,66501144.3
YOG2026050219,双歧杆菌数,配料糖添加量,7.1,numeric,66501144.3
YOG2026050219,双歧杆菌数,配料蛋白质含量,3.5,numeric,66501144.3
YOG2026050220,双歧杆菌数,发酵时间,7.2,numeric,69228828.0
YOG2026050220,双歧杆菌数,发酵温度,39.3,numeric,69228828.0
YOG2026050220,双歧杆菌数,菌种类型,Bb-12,categorical,69228828.0
YOG2026050220,双歧杆菌数,待装罐储存温度,4.2,numeric,69228828.0
YOG2026050220,双歧杆菌数,配料糖添加量,8.0,numeric,69228828.0
YOG2026050220,双歧杆菌数,配料蛋白质含量,3.3,numeric,69228828.0
YOG2026050301,双歧杆菌数,发酵时间,7.2,numeric,57306932.0
YOG2026050301,双歧杆菌数,发酵温度,40.4,numeric,57306932.0
YOG2026050301,双歧杆菌数,菌种类型,BL21,categorical,57306932.0
YOG2026050301,双歧杆菌数,待装罐储存温度,5.1,numeric,57306932.0
YOG2026050301,双歧杆菌数,配料糖添加量,8.7,numeric,57306932.0
YOG2026050301,双歧杆菌数,配料蛋白质含量,3.2,numeric,57306932.0
YOG2026050302,双歧杆菌数,发酵时间,6.5,numeric,75688704.0
YOG2026050302,双歧杆菌数,发酵温度,40.4,numeric,75688704.0
YOG2026050302,双歧杆菌数,菌种类型,HN019,categorical,75688704.0
YOG2026050302,双歧杆菌数,待装罐储存温度,4.5,numeric,75688704.0
YOG2026050302,双歧杆菌数,配料糖添加量,8.4,numeric,75688704.0
YOG2026050302,双歧杆菌数,配料蛋白质含量,4.2,numeric,75688704.0
YOG2026050303,双歧杆菌数,发酵时间,7.3,numeric,64446369.9
YOG2026050303,双歧杆菌数,发酵温度,40.9,numeric,64446369.9
YOG2026050303,双歧杆菌数,菌种类型,Bb-12,categorical,64446369.9
YOG2026050303,双歧杆菌数,待装罐储存温度,5.0,numeric,64446369.9
YOG2026050303,双歧杆菌数,配料糖添加量,8.5,numeric,64446369.9
YOG2026050303,双歧杆菌数,配料蛋白质含量,3.4,numeric,64446369.9
YOG2026050304,双歧杆菌数,发酵时间,7.4,numeric,72484121.0
YOG2026050304,双歧杆菌数,发酵温度,39.4,numeric,72484121.0
YOG2026050304,双歧杆菌数,菌种类型,Bb-12,categorical,72484121.0
YOG2026050304,双歧杆菌数,待装罐储存温度,3.8,numeric,72484121.0
YOG2026050304,双歧杆菌数,配料糖添加量,7.7,numeric,72484121.0
YOG2026050304,双歧杆菌数,配料蛋白质含量,3.5,numeric,72484121.0
YOG2026050305,双歧杆菌数,发酵时间,8.2,numeric,49019028.9
YOG2026050305,双歧杆菌数,发酵温度,38.5,numeric,49019028.9
YOG2026050305,双歧杆菌数,菌种类型,BL21,categorical,49019028.9
YOG2026050305,双歧杆菌数,待装罐储存温度,4.7,numeric,49019028.9
YOG2026050305,双歧杆菌数,配料糖添加量,6.9,numeric,49019028.9
YOG2026050305,双歧杆菌数,配料蛋白质含量,3.4,numeric,49019028.9
YOG2026050306,双歧杆菌数,发酵时间,7.5,numeric,80461576.8
YOG2026050306,双歧杆菌数,发酵温度,40.1,numeric,80461576.8
YOG2026050306,双歧杆菌数,菌种类型,Bb-12,categorical,80461576.8
YOG2026050306,双歧杆菌数,待装罐储存温度,2.9,numeric,80461576.8
YOG2026050306,双歧杆菌数,配料糖添加量,7.5,numeric,80461576.8
YOG2026050306,双歧杆菌数,配料蛋白质含量,3.6,numeric,80461576.8
YOG2026050307,双歧杆菌数,发酵时间,6.6,numeric,79892089.2
YOG2026050307,双歧杆菌数,发酵温度,40.2,numeric,79892089.2
YOG2026050307,双歧杆菌数,菌种类型,Bb-12,categorical,79892089.2
YOG2026050307,双歧杆菌数,待装罐储存温度,4.0,numeric,79892089.2
YOG2026050307,双歧杆菌数,配料糖添加量,7.5,numeric,79892089.2
YOG2026050307,双歧杆菌数,配料蛋白质含量,3.9,numeric,79892089.2
YOG2026050308,双歧杆菌数,发酵时间,7.3,numeric,62587900.8
YOG2026050308,双歧杆菌数,发酵温度,38.4,numeric,62587900.8
YOG2026050308,双歧杆菌数,菌种类型,HN019,categorical,62587900.8
YOG2026050308,双歧杆菌数,待装罐储存温度,4.2,numeric,62587900.8
YOG2026050308,双歧杆菌数,配料糖添加量,7.5,numeric,62587900.8
YOG2026050308,双歧杆菌数,配料蛋白质含量,3.7,numeric,62587900.8
YOG2026050309,双歧杆菌数,发酵时间,6.6,numeric,69992099.1
YOG2026050309,双歧杆菌数,发酵温度,39.9,numeric,69992099.1
YOG2026050309,双歧杆菌数,菌种类型,Bb-12,categorical,69992099.1
YOG2026050309,双歧杆菌数,待装罐储存温度,4.5,numeric,69992099.1
YOG2026050309,双歧杆菌数,配料糖添加量,8.6,numeric,69992099.1
YOG2026050309,双歧杆菌数,配料蛋白质含量,3.3,numeric,69992099.1
YOG2026050310,双歧杆菌数,发酵时间,6.8,numeric,76629763.6
YOG2026050310,双歧杆菌数,发酵温度,39.6,numeric,76629763.6
YOG2026050310,双歧杆菌数,菌种类型,Bb-12,categorical,76629763.6
YOG2026050310,双歧杆菌数,待装罐储存温度,3.3,numeric,76629763.6
YOG2026050310,双歧杆菌数,配料糖添加量,9.2,numeric,76629763.6
YOG2026050310,双歧杆菌数,配料蛋白质含量,3.6,numeric,76629763.6
YOG2026050311,双歧杆菌数,发酵时间,6.4,numeric,57423342.9
YOG2026050311,双歧杆菌数,发酵温度,40.7,numeric,57423342.9
YOG2026050311,双歧杆菌数,菌种类型,Bb-12,categorical,57423342.9
YOG2026050311,双歧杆菌数,待装罐储存温度,6.1,numeric,57423342.9
YOG2026050311,双歧杆菌数,配料糖添加量,8.7,numeric,57423342.9
YOG2026050311,双歧杆菌数,配料蛋白质含量,3.2,numeric,57423342.9
YOG2026050312,双歧杆菌数,发酵时间,6.8,numeric,75220170.3
YOG2026050312,双歧杆菌数,发酵温度,41.0,numeric,75220170.3
YOG2026050312,双歧杆菌数,菌种类型,Bb-12,categorical,75220170.3
YOG2026050312,双歧杆菌数,待装罐储存温度,3.3,numeric,75220170.3
YOG2026050312,双歧杆菌数,配料糖添加量,8.3,numeric,75220170.3
YOG2026050312,双歧杆菌数,配料蛋白质含量,3.7,numeric,75220170.3
YOG2026050313,双歧杆菌数,发酵时间,6.5,numeric,71678464.0
YOG2026050313,双歧杆菌数,发酵温度,40.0,numeric,71678464.0
YOG2026050313,双歧杆菌数,菌种类型,BL21,categorical,71678464.0
YOG2026050313,双歧杆菌数,待装罐储存温度,2.0,numeric,71678464.0
YOG2026050313,双歧杆菌数,配料糖添加量,7.3,numeric,71678464.0
YOG2026050313,双歧杆菌数,配料蛋白质含量,3.4,numeric,71678464.0
YOG2026050314,双歧杆菌数,发酵时间,6.4,numeric,66811283.4
YOG2026050314,双歧杆菌数,发酵温度,41.3,numeric,66811283.4
YOG2026050314,双歧杆菌数,菌种类型,HN019,categorical,66811283.4
YOG2026050314,双歧杆菌数,待装罐储存温度,2.6,numeric,66811283.4
YOG2026050314,双歧杆菌数,配料糖添加量,7.7,numeric,66811283.4
YOG2026050314,双歧杆菌数,配料蛋白质含量,3.5,numeric,66811283.4
YOG2026050315,双歧杆菌数,发酵时间,7.7,numeric,59987424.0
YOG2026050315,双歧杆菌数,发酵温度,38.9,numeric,59987424.0
YOG2026050315,双歧杆菌数,菌种类型,Bb-12,categorical,59987424.0
YOG2026050315,双歧杆菌数,待装罐储存温度,5.2,numeric,59987424.0
YOG2026050315,双歧杆菌数,配料糖添加量,8.0,numeric,59987424.0
YOG2026050315,双歧杆菌数,配料蛋白质含量,3.3,numeric,59987424.0
YOG2026050316,双歧杆菌数,发酵时间,7.2,numeric,77724192.0
YOG2026050316,双歧杆菌数,发酵温度,40.2,numeric,77724192.0
YOG2026050316,双歧杆菌数,菌种类型,Bb-12,categorical,77724192.0
YOG2026050316,双歧杆菌数,待装罐储存温度,3.4,numeric,77724192.0
YOG2026050316,双歧杆菌数,配料糖添加量,8.0,numeric,77724192.0
YOG2026050316,双歧杆菌数,配料蛋白质含量,3.4,numeric,77724192.0
YOG2026050317,双歧杆菌数,发酵时间,7.1,numeric,67859269.6
YOG2026050317,双歧杆菌数,发酵温度,40.5,numeric,67859269.6
YOG2026050317,双歧杆菌数,菌种类型,HN019,categorical,67859269.6
YOG2026050317,双歧杆菌数,待装罐储存温度,5.6,numeric,67859269.6
YOG2026050317,双歧杆菌数,配料糖添加量,7.1,numeric,67859269.6
YOG2026050317,双歧杆菌数,配料蛋白质含量,3.9,numeric,67859269.6
YOG2026050318,双歧杆菌数,发酵时间,6.0,numeric,68262274.1
YOG2026050318,双歧杆菌数,发酵温度,39.9,numeric,68262274.1
YOG2026050318,双歧杆菌数,菌种类型,Bb-12,categorical,68262274.1
YOG2026050318,双歧杆菌数,待装罐储存温度,4.6,numeric,68262274.1
YOG2026050318,双歧杆菌数,配料糖添加量,8.2,numeric,68262274.1
YOG2026050318,双歧杆菌数,配料蛋白质含量,3.4,numeric,68262274.1
YOG2026050319,双歧杆菌数,发酵时间,6.9,numeric,78274418.7
YOG2026050319,双歧杆菌数,发酵温度,39.6,numeric,78274418.7
YOG2026050319,双歧杆菌数,菌种类型,Bb-12,categorical,78274418.7
YOG2026050319,双歧杆菌数,待装罐储存温度,3.4,numeric,78274418.7
YOG2026050319,双歧杆菌数,配料糖添加量,8.6,numeric,78274418.7
YOG2026050319,双歧杆菌数,配料蛋白质含量,3.6,numeric,78274418.7
YOG2026050320,双歧杆菌数,发酵时间,6.7,numeric,62475926.6
YOG2026050320,双歧杆菌数,发酵温度,40.7,numeric,62475926.6
YOG2026050320,双歧杆菌数,菌种类型,BL21,categorical,62475926.6
YOG2026050320,双歧杆菌数,待装罐储存温度,4.3,numeric,62475926.6
YOG2026050320,双歧杆菌数,配料糖添加量,8.6,numeric,62475926.6
YOG2026050320,双歧杆菌数,配料蛋白质含量,3.6,numeric,62475926.6
